terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
Cash Conversion Cycle (CCC),"The cash conversion cycle (CCC) is a metric that expresses the time (measured in days) it takes for a company to convert its investments in inventory and other resources into cash flows from sales. Also called the Net Operating Cycle or simply Cash Cycle, CCC attempts to measure how long each net input dollar is tied up in the production and sales process before it gets converted into cash received.",investopedia,1,44.41,15.8,0.0,10.34,18.5,11.01,16,21.5,18.0,10th and 11th grade,81.1,77.5,37.78,3.4,50.0,45.05
MINIMUM SUBSCRIPTION,"The minimum size (in value terms) of a NEW ISSUE of STOCK or a RIGHTS OFFERING that must be raised in order for the transaction to proceed. If the minimum subscription amount is not met, the transaction is cancelled.",palgrave,0,68.6,8.5,0.0,8.47,9.8,8.65,7,12.75,11.9,8th and 9th grade,103.0,97.88,45.35,2.6,58.7435897435898,66.91
Total Bond Fund,"A total bond fund is a mutual fund or exchange-traded fund that seeks to replicate a broad bond index. A total bond fund owns many securities across a range of maturities, from both public and private sectors. The most common index used as a benchmark is the Barclays Aggregate Bond Index, which captures Treasury bonds, corporate bonds, municipal bonds and high-grade mortgage-backed securities.",investopedia,1,50.16,11.5,13.0,12.53,14.0,10.94,18,13.5,12.21,12th and 13th grade,89.4,85.96,37.96,3.5,50.2698412698413,47.06
Understanding Estoppel,Estoppel is a legal principle that prevents someone from arguing something or asserting a right that contradicts what they previously said or agreed to by law. It is meant to prevent people from being unjustly wronged by the inconsistencies of another person's words or actions.,investopedia,1,48.64,12.1,0.0,12.77,14.3,10.37,13,15.25,15.22,12th and 13th grade,87.9,81.89,37.53,3.7,50.3333333333333,44.69
Whole Life Annuity,"A whole life annuity, also known as a life annuity, is a financial product sold by insurance companies; it pays monthly, quarterly, semi-annual, or annual payments to a person for as long as they live, beginning at a stated age. Annuities are usually purchased by investors who want to secure an income stream during retirement.",investopedia,1,35.1,15.2,0.0,10.86,15.8,10.17,17,19.75,17.55,15th and 16th grade,76.8,76.26,39.02,4.0,50.0909090909091,46.7
Future value,The value of an asset or cash at a specified date in the future that is equal in value to a specified sum today.,9_12_louis,1,64.04,10.3,0.0,4.3,8.0,6.8,3,14.0,11.27,7th and 8th grade,98.4,97.17,51.23,2.5,64.4166666666667,86.76
Estate,"An estate is everything comprising the net worth of an individual, including all land and real estate, possessions, financial securities, cash, and other assets that the individual owns or has a controlling interest in.",investopedia,1,11.59,20.1,0.0,14.17,21.5,10.43,10,27.0,23.01,-1th and 0th grade,58.2,57.4,31.66,5.1,42.8235294117647,30.44
Bullet Bond,"A bullet bond is a debt instrument whose entire principal value is paid in one lump sum on the maturity date, as opposed to amortizing the bond over its lifetime. Bullet bonds cannot be redeemed early by an issuer, which means they are non-callable. Because of this, bullet bonds typically pay a relatively low rate of interest due to the issuer's high-interest rate exposure.",investopedia,1,49.86,11.6,13.0,10.27,12.3,9.38,14,13.6666666666667,13.52,13th and 14th grade,89.1,88.16,41.66,3.3,54.15625,55.97
USD,"The USD is the abbreviation for the U.S. Dollar, the official currency of United States of America and the world's primary reserve currency.",investopedia,1,51.34,9.0,0.0,10.01,8.5,10.39,5,7.75,11.56,8th and 9th grade,93.1,86.99,43.52,3.3,63.7826086956522,59.8
Over-the-Counter Bulletin Board (OTCBB),"The over-the-counter bulletin board (OTCBB) is an electronic quotation service provided by the Financial Industry Regulatory Authority (FINRA) to its subscribing members that offers over-the-counter (OTC) trade data for U.S. stocks. Unlike other OTC platforms, OTCBB is a quotation-only service.",investopedia,1,25.8,14.6,0.0,17.52,18.7,12.52,15,15.5,16.0,15th and 16th grade,72.4,68.47,30.0,4.9,40.0,18.48
Indication of Interest (IOI),"An indication of interest (IOI) is an underwriting expression showing a conditional, non-binding interest in buying a security that is currently in registration—awaiting approval by the Securities and Exchange Commission (SEC). The investor's broker is required to provide the investor with a preliminary prospectus. However, IOIs in the mergers and acquisitions world have similar intent but are done differently.",investopedia,1,26.1,14.5,16.7,16.65,16.8,12.91,27,15.5,17.37,16th and 17th grade,72.8,65.74,31.6,5.1,43.9152542372881,25.91
Market,"A market is a place where two parties can gather to facilitate the exchange of goods and services. The parties involved are usually buyers and sellers. The market may be physical like a retail outlet, where people meet face-to-face, or virtual like an online market, where there is no direct physical contact between buyers and sellers.",investopedia,1,52.49,10.6,10.5,11.02,11.5,8.23,13,11.0,10.34,10th and 11th grade,91.8,90.27,41.38,3.2,54.8928571428571,52.74
Immunization,"Immunization, also known as multi-period immunization, is a risk-mitigation strategy that matches the duration of assets and liabilities in order to minimize the impact of interest rates on net worth over time.",investopedia,1,22.08,18.1,0.0,15.21,21.2,12.13,12,25.0,22.8,12th and 13th grade,66.2,59.97,30.65,5.0,41.8125,27.76
Option Cycle,Option cycle refers to the expiration dates that apply to the different classes of options. A newly listed option is assigned a cycle randomly to broadly distribute options across varying time frames. It is also known as an expiration cycle.,investopedia,1,49.52,9.7,10.5,10.66,9.0,10.61,13,7.33333333333333,8.32,10th and 11th grade,91.3,89.15,42.28,3.3,61.0,57.89
Locked-In Retirement Account (LIRA),"A Locked-in Retirement Account (LIRA) is a type of registered pension fund in Canada that does not permit withdrawals before retirement except in exceptional circumstances. The locked-in retirement account is designed to hold pension funds for a former plan member, an ex-spouse, or a surviving spouse.",investopedia,1,48.13,12.3,0.0,14.28,16.4,10.96,12,15.0,13.55,10th and 11th grade,87.4,83.61,34.85,3.6,46.1739130434783,33.41
MULTILATERAL DEVELOPMENT BANK,"A supranational organization that is constituted to provide financing and financial and economic advice, pri- marily to developing nations. Such institutions are generally funded through contributions from the governments of industrialized nations. See alsoAFRICAN DEVELOPMENT BANK, ASIAN DEVELOPMENT BANK, EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT, INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT, INTER-AMERICAN DEVELOPMENT BANK.",palgrave,0,-14.48,19.8,18.9,23.37,21.7,11.84,23,16.6666666666667,19.79,19th and 20th grade,44.5,42.31,20.46,7.0,33.2592592592593,-1.53
EUROPEAN CURRENCY UNIT (ECU),"A unit of account, created by the EUROPEAN ECONOMIC COMMUNITY in 1979 as part of the European Monetary System, based on a weighted average of the CURRENCIES of the member countries. The ECU was superseded by the creation of the EUROPEAN MONETARY UNION and the introduction of the EURO in 1999.",palgrave,0,45.59,13.2,0.0,10.22,13.7,11.09,14,18.75,17.26,13th and 14th grade,84.8,78.72,40.82,3.9,53.1176470588235,54.0
RUNNING YIELD,See FLAT YIELD.,palgrave,0,119.19,-2.7,0.0,-2.38,0.5,9.05,0,0.5,1.2,0th and 1st grade,143.8,141.54,55.35,-5.4,145.666666666667,117.14
Yen ETF,"A yen ETF is an exchange traded fund (ETF) that tracks the relative value of Japan’s currency, the Japanese yen (JPY), in the foreign exchange (forex) market against a basket of other currencies or a single currency such as the U.S. dollar (USD). This is achieved by investing primarily in yen-backed assets, including short-term debt instruments and bonds, or simply holding the spot currency in interest-bearing accounts.",investopedia,1,37.47,16.4,0.0,12.83,20.6,12.37,16,22.25,18.77,12th and 13th grade,76.7,72.91,34.11,3.9,44.2238805970149,31.09
CLO,See COLLATERALIZED LOAN OBLIGATION.,palgrave,0,-8.73,15.5,0.0,21.75,18.3,11.73,2,3.0,21.6,21st and 22nd grade,52.8,47.09,18.63,3.7,84.0,9.33
Flexible exchange rate,A system in which supply and demand determine exchange rates.,9_12_louis,1,61.33,7.2,0.0,10.82,8.1,12.03,4,5.0,8.0,7th and 8th grade,100.6,97.16,42.23,2.4,67.0,60.06
Bonus,"A bonus is a financial compensation that is above and beyond the normal payment expectations of its recipient. Companies may award bonuses to both entry-level employees and to senior-level executives. While bonuses are traditionally given to exceptional workers, employers sometimes dole out bonuses company-wide to stave off jealousy among staffers.",investopedia,1,29.14,13.3,15.0,16.53,15.3,11.41,17,12.6666666666667,14.68,14th and 15th grade,75.8,71.8,32.33,4.7,46.8,30.08
Margin Debt,"Margin debt is debt a brokerage customer takes on by trading on margin. When purchasing securities through a broker, investors have the option of using a cash account and covering the entire cost of the investment themselves, or using a margin account—meaning they borrow part of the initial capital from their broker. The portion the investors borrow is known as margin debt, while the portion they fund themselves is the margin, or equity.",investopedia,1,46.81,12.8,12.5,11.78,14.5,9.17,17,14.8333333333333,13.01,12th and 13th grade,86.1,85.21,38.58,3.4,50.7808219178082,46.91
ADMITTED INSURER,"An INSURER that is authorized to write INSURANCE business in a particular state or jurisdiction; the contracts it offers are classified as ADMITTED INSURANCE. Also known as AUTHORIZED INSURER, LICENSED CARRIER. See also NON.",palgrave,0,34.63,11.2,14.1,13.26,10.7,9.77,11,8.33333333333333,13.93,13th and 14th grade,81.3,78.23,38.17,4.0,59.2941176470588,47.05
EURIBOR,See EURO INTERBANK OFFERED RATE.,palgrave,0,49.48,7.6,0.0,9.6,7.4,13.36,3,2.5,10.0,9th and 10th grade,93.8,89.7,41.07,1.3,93.0,65.14
STOCK OPTION,A CALL OPTION or a PUT OPTION with a company’s STOCK as the UNDERLYING reference. Also known as SHARE OPTION.,palgrave,0,61.33,7.2,0.0,6.76,4.8,7.29,4,5.5,10.0,6th and 7th grade,100.6,100.27,49.02,2.1,74.0,79.41
CURRENCY OVERLAY,"An INVESTMENT technique related to the active management of CURRENCY exposures inherent in a PORTFOLIO of multicur- rency ASSETS, where the currency RISKS of the portfolio are managed separ- ately from the remaining MARKET RISKS of the portfolio. The currency overlay is implemented by creating a currency neutral position for the INVESTOR, and then permitting tactical flexibility that allows the portfolio manager to devi- ate from the base position in order to generate currency-based ALPHA. The overlay may be based on CARRY, momentum, and/or quantitative approaches.See TRANSLATION RISK.",palgrave,0,16.36,18.3,20.6,15.73,20.3,11.55,33,24.0,20.81,20th and 21st grade,63.0,57.86,30.7,5.3,41.8409090909091,24.28
Systemic risk,"The RISK of damage being done to the health of the FINANCIAL SYSTEM as a whole. A constant concern of BANK regulators is that the collapse of a single bank could bring down the entire financial system. This is why regulators often organise a rescue when a bank gets into financial difficulties. However, the expectation of such a rescue may create a MORAL HAZARD, encouraging banks to behave in ways that increase systemic risk. Another concern of regulators is that the ­RISK MANAGEMENT methods used by banks are so similar that they may increase systemic risk by creating a tendency for crowd behaviour. In particular, problems in one market may cause banks in general to liquidate positions in other markets, causing a vicious cycle of LIQUIDITY being withdrawn from the financial system as everybody rushes for the emergency exit at once. (See CAPITAL ASSET PRICING MODEL.)",economist,1,38.35,13.9,15.0,11.55,14.3,9.38,37,13.2,14.1,13th and 14th grade,80.1,78.81,38.91,3.9,51.1917808219178,47.9
leverage cycle,A lending boom and then a lending crash.,fmi,0,88.74,2.9,0.0,3.55,2.0,6.01,1,3.0,3.2,2nd and 3rd grade,120.7,120.96,53.6,0.2,85.25,95.95
payout ratio,dividend as a proportion of earnings per share.,prin,0,63.36,6.4,0.0,8.66,6.1,11.93,3,5.0,13.2,8th and 9th grade,102.7,97.6,45.11,2.0,76.5,71.77
UNREALIZED LOSS,"Losses on an ASSET (resulting from a negative change in valuation) that have not yet been realized or “locked in” for ACCOUNTING purposes. An unrealized loss can only be realized through disposal. Also known as PAPER LOSS. See also REALIZED LOSS, UNREALIZED GAIN.",palgrave,0,52.05,8.7,12.6,10.42,8.2,8.21,10,7.125,11.76,8th and 9th grade,93.8,88.87,43.16,3.1,65.5116279069767,61.1
Marginal Cost of Production,"In economics, the marginal cost of production is the change in total production cost that comes from making or producing one additional unit. To calculate marginal cost, divide the change in production costs by the change in quantity. The purpose of analyzing marginal cost is to determine at what point an organization can achieve economies of scale to optimize production and overall operations. If the marginal cost of producing one additional unit is lower than the per-unit price, the producer has the potential to gain a profit.",investopedia,1,40.89,13.0,16.5,12.07,13.7,9.44,19,16.375,15.16,12th and 13th grade,82.6,81.25,38.53,3.8,51.2988505747127,47.53
