terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
"Quarter (Q1, Q2, Q3, and Q4)","A quarter is a three-month period on a company's financial calendar that acts as a basis for periodic financial reports and the paying of dividends. A quarter refers to one-fourth of a year and is typically expressed as ""Q1” for the first quarter, “Q2” for the second quarter, and so forth. For example, a quarter is often shown with its relevant year, as in Q1 2020 or Q1/20, which represents the first quarter of the year 2020.",investopedia,1,53.85,12.1,14.1,8.65,13.0,8.81,16.5,14.96
Valuation Reserve,Valuation reserves are assets that insurance companies set aside per state law to mitigate the risk of declines in the value of investments they hold. They function as a hedge to an investment portfolio and ensure that an insurance company remains solvent.,investopedia,1,50.16,11.5,0.0,12.13,13.2,11.07,15.0,15.07
VRN,See VARIABLE RATE NOTE.,palgrave,0,92.8,1.3,0.0,4.35,4.1,7.78,1.0,1.6
reinvestment rate risk,The uncertainty surrounding the cumulative future value of reinvested bond coupon payments.,zvi,0,17.0,13.9,0.0,20.0,16.0,14.76,9.0,18.13
Green Card,"A green card is a colloquial name for the identification card issued by U.S. Citizenship and Immigration Services to permanent residents, who are legally allowed to live and work in the U.S. indefinitely. Green cards got their nickname because they were green in color from 1946 to 1964. In 2010 they became green again, but the nickname persisted during the intervening decades of blue, pink and yellow ""green cards.""",investopedia,1,62.38,8.9,11.7,10.84,11.1,9.3,10.875,12.14
"Product, average",Refer to  average product.,sam,1,8.2,13.1,0.0,7.25,6.5,15.68,2.0,11.6
Portfolio Runoff,"Portfolio runoff is a general concept in portfolio management that describes situations where assets decrease. Runoff can occur for a variety of reasons including the maturation or expiration of securities, liquidation of certain assets, or any other situation where assets decrease or are withdrawn from a portfolio.",investopedia,1,22.24,16.0,0.0,15.96,17.5,10.85,18.25,17.91
DPO,See DIRECT PUBLIC OFFERING.,palgrave,0,33.58,9.6,0.0,10.15,8.8,7.78,2.0,11.6
Expansion,"Expansion is the phase of the business cycle where real gross domestic product (GDP) grows for two or more consecutive quarters, moving from a trough to a peak. Expansion is typically accompanied by a rise in employment, consumer confidence, and equity markets and is also referred to as an economic recovery.",investopedia,1,37.13,14.4,0.0,11.9,15.4,11.4,18.25,18.04
Regulatory risk,"A RISK faced by private-sector FIRMS that regulatory changes will hurt their business. In competitive markets, regulatory risk is usually small. But in NATURAL MONOPOLY industries, such as electricity distribution, it may be huge. To ensure that regulatory risk does not deter private firms from offering their services, a GOVERNMENT wishing to change its regulations may have good reason to compensate private firms that suffer losses as a result of the change.",economist,1,44.75,11.5,14.2,13.22,13.1,9.57,12.75,12.76
IBF,See INTERNATIONAL BANKING FACILITY.,palgrave,0,-51.03,21.4,0.0,21.75,18.3,15.68,3.0,21.6
Loophole,"A loophole is a technicality that allows a person or business to avoid the scope of a law or restriction without directly violating the law. Used often in discussions of taxes and their avoidance, loopholes provide ways for individuals and companies to remove income or assets from taxable situations into ones with lower taxes or none at all.",investopedia,1,33.58,15.8,0.0,11.62,16.3,10.79,18.5,17.12
Expansionary Policy,"Expansionary, or loose policy is a form of macroeconomic policy that seeks to encourage economic growth. Expansionary policy can consist of either monetary policy or fiscal policy (or a combination of the two). It is part of the general policy prescription of Keynesian economics, to be used during economic slowdowns and recessions in order to moderate the downside of economic cycles.",investopedia,1,25.49,14.7,18.2,13.05,13.9,9.56,17.1666666666667,15.99
CUSHION BOND,A CALLABLE BOND with a high COUPON that is selling for a PREMIUM. The cushion bond loses less value as rates rise and gains less value when rates fall when compared with a NONCALLABLE BOND.,palgrave,0,79.09,6.6,0.0,7.77,8.2,9.02,8.25,8.14
Quid Pro Quo,"Quid pro quo is Latin term for ""something for something"" that originated in the middle ages in Europe. It describes a situation when two parties engage in a mutual agreement to exchange goods or services reciprocally. In a quid pro quo agreement, one transfer is thus contingent upon some transfer from the other party.",investopedia,1,53.21,10.3,10.5,10.32,10.8,9.79,10.6666666666667,10.9
MOB SPREAD,See MUNICIPALS OVER BONDS SPREAD.,palgrave,0,66.4,5.2,0.0,10.76,8.4,10.2,2.5,10.0
Services (elementary),Activities people do for us.,pre_louis,1,49.48,7.6,0.0,4.96,3.7,7.04,2.5,10.0
Cost-benefit analysis,"A method of reaching economic decisions by comparing the costs of doing something with its benefits. It sounds simple and common-sensical, but, in practice, it can easily become complicated and is much abused. With careful selection of the assumptions used in cost-benefit analysis it can be made to support, or oppose, almost anything. This is particularly so when the decision being con templated involves some cost or benefit for which there is no market PRICE or which, because of an EXTERNALITY, is not fully reflected in the market price. Typical examples would be a project to build a hydroelectric dam in an area of outstanding natural beauty or a law to require factories to limit emissions of gases that may cause ill-health. (See SHADOW PRICE.)",economist,1,46.1,13.0,15.4,11.44,14.9,9.93,14.0,17.04
Loan guarantee,A contract binding a third party to pay off a loan if the borrower defaults.,6_8_louis,1,73.17,6.8,0.0,5.73,5.5,8.59,7.5,8.67
Backdoor Roth IRA,"A backdoor Roth IRA is not an official type of retirement account. Instead, it is an informal name for a complicated but IRS-sanctioned method for high-income taxpayers to fund a Roth, even if their incomes exceed the limits that the IRS allows for regular Roth contributions. Brokerages that offer both traditional IRAs and Roth IRAs provide assistance in pulling off this strategy, which basically involves converting a traditional IRA into the Roth variety.",investopedia,1,38.35,13.9,16.7,13.29,15.8,11.33,17.8333333333333,17.39
EXPECTED RETURN,"The estimated value of an ASSET or INVESTMENT, typically determined from a probability distribution of all possible return outcomes.",palgrave,0,1.43,17.8,0.0,16.88,16.3,11.23,16.5,20.23
Mixed economy (elementary),An economic system where buyers and sellers meet to exchange goods and services and decide on price with some government involvement in the economy.,pre_louis,1,47.12,12.7,0.0,13.0,15.1,9.43,16.0,14.6
reversal effect,The tendency of poorly performing stocks and well-performing stocks in one period to experience reversals in following periods.,zvi,0,19.37,15.0,0.0,17.22,16.3,11.55,17.0,20.53
bank holding companies,Companies that own one or more banks.,fmi,0,89.75,2.5,0.0,4.94,2.9,8.5,3.5,8.51
Float,"In financial terms, the float is money within the banking system that is briefly counted twice due to time gaps in registering a deposit or withdrawal. These time gaps are usually due to the delay in processing paper checks. A bank credits a customer’s account as soon as a check is deposited. However, it takes some time to receive a check from the payer’s bank and record it. Until the check clears the account it is drawn on, the amount it is written for ""exists"" in two different places, appearing in the accounts of both the recipient’s and payer’s banks.",investopedia,1,68.1,8.7,11.2,8.82,10.3,8.89,12.0,11.2
credit default swap CDS,An insurance policy on the credit risk of a corporate bond or loan.,zvi,0,66.74,7.2,0.0,5.9,5.0,11.57,8.5,14.43
Tax incidence,See  incidence.,sam,1,-6.7,14.7,0.0,4.2,10.2,11.63,1.0,20.8
REFINANCING RISK,See REPRICING RISK.,palgrave,0,93.81,0.9,0.0,5.35,6.8,14.31,0.5,1.2
interest rate parity relationship theorem,The rela-tion between spot and forward exchange rates and for-eign and domestic interest rates that rules out arbitrage opportunities.,zvi,0,35.27,13.1,0.0,17.23,16.8,12.06,14.5,16.02
NYSE EURONEXT,"An international HOLDING COMPANY formed from the 2007 MERGER of the NEW YORK STOCK EXCHANGE and EURONEXT, itselfthe product of a merger of the STOCK exchanges of Amsterdam, Brussels, Paris, and Lisbon, and the DERIVATIVES exchange London International Financial Futures and Options Exchange. The NYSE Euronext group exchanges are active in TRADING, SETTLEMENT, and CLEARING of stocks, BONDS, and a range of derivatives.",palgrave,0,31.04,16.8,0.0,15.15,21.0,11.72,19.75,15.14
Land tax,"Henry George, a 19th-century American eco­nomist, believed that taxes should be levied only on the value of LAND, not on LABOUR or CAPITAL. This 'single tax', he asserted in his book, PROGRESS AND POVERTY, would end UNEMPLOYMENT, POVERTY, INFLATION and INEQUALITY. Many countries levy some tax on land or property values, although George's single tax has never been fully implemented. This is mainly because of fears that it would drive down land PRICES too much or discourage efforts to improve the quality (that is, the economic value) of land. George addressed this concern by arguing that the tax should be levied only against the value of 'unimproved' land. Certainly, a land tax has obvious advantages: it is simple and cheap to levy; evasion is all but impossible; and it penalises owners who do not put their land to work.",economist,1,56.39,11.2,13.0,10.74,13.6,9.44,12.6,13.31
Accrued Income,"Accrued income is money that's been earned but has yet to be received. Mutual funds or other pooled assets that accumulate income over a period of time—but only pay shareholders once a year—are, by definition, accruing their income. Individual companies can also generate income without actually receiving it, which is the basis of the accrual accounting system.",investopedia,1,35.27,13.1,15.0,13.17,13.4,10.4,13.8333333333333,16.72
Order Driven Market,"An order-driven market is a financial market where all buyers and sellers display the prices at which they wish to buy or sell a particular security, as well as the amounts of the security desired to be bought or sold. This kind of trading environment is the opposite of a quote-driven market, which only displays bids and asks of designated market makers and specialists for the specific security that is being traded.",investopedia,1,34.94,17.3,0.0,10.92,19.4,10.03,24.0,18.84
DIRECT LAWSUIT,"A legal action where one or more SHAREHOLDERS sue DIRECTORS or executives directly, rather than through the CORPORATION, for breach of duties. See also DERIVATIVE LAWSUIT.",palgrave,0,41.36,10.7,0.0,13.5,11.5,11.57,8.5,14.43
Present Value,"Present value (PV) is the current value of a future sum of money or stream of cash flows given a specified rate of return. Future cash flows are discounted at the discount rate, and the higher the discount rate, the lower the present value of the future cash flows. Determining the appropriate discount rate is the key to properly valuing future cash flows, whether they be earnings or debt obligations.",investopedia,1,56.29,11.2,11.2,10.04,12.7,8.63,13.6666666666667,12.75
Oral Contract,"An oral contract is a type of business contract that is outlined and agreed to via spoken communication, but not written down. Although it can be difficult to prove the terms of an oral contract in the event of a breach, this type of contract is legally binding. Oral contracts are often mistakenly referred to as verbal contracts, but a verbal contract is really any contract since all contracts are created using language.",investopedia,1,55.27,11.6,10.5,10.51,13.4,9.38,13.8333333333333,11.91
